NO,MValue,SValue,MValue_Mean,SValue_Mean,MValue_Analyze,SValue_Analyze
281,44.72,2.413,44.550000000000004,2.40825,3.4000000000000004,0.2
282,44.72,2.405,44.541666666666664,2.4079166666666665,0.5,0.1
283,44.63,2.404,44.564166666666665,2.4075,1.4000000000000001,0.1
284,44.61,2.404,44.585,2.4079166666666665,4.3,0.0
285,44.61,2.404,44.60666666666666,2.4083333333333337,4.2,0.1
286,44.61,2.404,44.62833333333333,2.4082500000000002,4.3,0.0
287,44.61,2.404,44.64000000000001,2.4080833333333334,3.3000000000000003,0.0
288,44.93,2.404,44.67250000000001,2.4079166666666665,4.3999999999999995,0.0
289,44.91,2.404,44.703333333333326,2.4071666666666665,6.3,0.1
290,44.91,2.404,44.725833333333334,2.4064166666666664,5.3,0.2
291,44.9,2.404,44.7475,2.4055833333333334,4.3999999999999995,0.2
292,44.89,2.404,44.75416666666666,2.4048333333333334,2.8000000000000003,0.2
293,44.89,2.405,44.76833333333334,2.4041666666666663,2.1,0.1
294,44.89,2.405,44.7825,2.4041666666666663,2.8000000000000003,0.1
295,44.89,2.405,44.80416666666667,2.4042499999999998,3.5999999999999996,0.0
296,44.89,2.405,44.82749999999999,2.404333333333333,4.5,0.0
297,44.88,2.405,44.849999999999994,2.4044166666666666,4.6,0.0
298,44.88,2.405,44.8725,2.4044999999999996,4.5,0.0
299,44.87,2.405,44.89416666666667,2.404583333333333,4.3999999999999995,0.0
300,44.8,2.405,44.88333333333333,2.4046666666666665,1.0999999999999999,0.0
301,44.8,2.405,44.87416666666667,2.4047499999999995,2.0,0.0
302,44.79,2.405,44.86416666666667,2.404833333333333,1.9,0.0
303,44.79,2.398,44.855,2.404333333333333,1.9,0.0
304,44.8,2.398,44.8475,2.403833333333333,1.7000000000000002,0.1
305,44.8,2.398,44.84,2.40325,1.5,0.1
306,44.8,2.397,44.8325,2.4025833333333333,1.5,0.1
307,44.79,2.397,44.82416666666666,2.4019166666666667,1.6,0.1
308,44.79,2.397,44.81583333333333,2.4012499999999997,1.7000000000000002,0.1
309,44.8,2.397,44.80916666666666,2.400583333333333,1.5,0.1
310,45.11,2.397,44.828333333333326,2.3999166666666665,1.2,0.1
311,45.11,2.405,44.84833333333333,2.3999166666666665,3.9,0.1
312,45.13,2.389,44.87583333333333,2.3985833333333333,4.8,0.1
313,45.02,2.389,44.89416666666667,2.39725,4.6,0.3
314,45.02,2.396,44.913333333333334,2.3965,3.8,0.2
315,45.05,2.396,44.935,2.396333333333333,4.1000000000000005,0.1
316,45.05,2.397,44.95583333333334,2.3962499999999998,4.3,0.0
317,45.13,2.397,44.98333333333333,2.3961666666666663,4.8,0.0
318,45.11,2.397,45.009166666666665,2.3961666666666663,5.3,0.0
319,45.11,2.397,45.035833333333336,2.3961666666666663,5.3,0.0
320,45.09,2.398,45.060833333333335,2.3962499999999998,5.2,0.0
321,45.08,2.398,45.08416666666667,2.396333333333333,4.8,0.0
322,45.08,2.398,45.08166666666667,2.3964166666666666,2.1,0.0
323,45.08,2.398,45.07916666666667,2.3958333333333335,0.5,0.0
324,45.08,2.391,45.074999999999996,2.396,0.7000000000000001,0.0
325,44.79,2.39,45.05583333333333,2.3960833333333333,2.3,0.0
326,44.77,2.39,45.035,2.395583333333333,4.0,0.0
327,44.77,2.391,45.01166666666666,2.3951666666666664,4.3999999999999995,0.1
328,44.78,2.391,44.98916666666667,2.3946666666666667,4.6,0.1
329,44.79,2.391,44.96083333333333,2.3941666666666666,5.1,0.1
330,44.79,2.392,44.93416666666667,2.39375,5.5,0.1
331,44.8,2.392,44.90833333333333,2.393333333333333,5.3,0.1
332,44.8,2.397,44.884166666666665,2.39325,5.0,0.0
333,44.89,2.397,44.86833333333333,2.3931666666666667,4.0,0.0
334,44.89,2.397,44.8525,2.3930833333333337,3.2,0.0
335,44.89,2.397,44.836666666666666,2.3930000000000002,3.2,0.0
336,44.88,2.397,44.82,2.3935,3.2,0.0
337,44.88,2.396,44.82750000000001,2.3939999999999997,0.8999999999999999,0.1
338,44.88,2.396,44.836666666666666,2.3945,1.7000000000000002,0.1
339,44.88,2.396,44.84583333333333,2.3949166666666666,1.7999999999999998,0.1
340,44.88,2.396,44.854166666666664,2.395333333333333,1.7000000000000002,0.1
341,44.88,2.396,44.86166666666667,2.39575,1.6,0.1
342,44.87,2.396,44.86833333333333,2.3960833333333333,1.4000000000000001,0.1
343,44.87,2.396,44.87416666666667,2.3964166666666666,1.2,0.1
344,45.02,2.396,44.892500000000005,2.396333333333333,2.4,0.0
345,45.02,2.396,44.903333333333336,2.3962499999999998,2.9000000000000004,0.0
346,45.11,2.396,44.921666666666674,2.3961666666666663,2.9000000000000004,0.0
347,45.12,2.396,44.94083333333334,2.3960833333333333,3.8,0.0
348,45.12,2.396,44.96083333333333,2.396,3.9,0.0
349,45.11,2.395,44.98,2.3959166666666665,3.9,0.0
350,45.04,2.395,44.99333333333333,2.3958333333333335,3.2,0.0
351,45.04,2.395,45.00666666666666,2.39575,2.7,0.0
352,45.03,2.395,45.01916666666667,2.3956666666666666,2.6,0.0
353,45.03,2.395,45.031666666666666,2.395583333333333,2.5,0.0
354,45.04,2.395,45.04583333333333,2.3954999999999997,2.7,0.0
355,45.03,2.395,45.05916666666667,2.3954166666666663,2.8000000000000003,0.0
356,45.03,2.394,45.06,2.3952500000000003,1.4000000000000001,0.0
357,45.02,2.394,45.06,2.3950833333333335,0.1,0.0
358,44.87,2.394,45.04,2.3949166666666666,2.0,0.0
359,44.87,2.395,45.01916666666667,2.394833333333333,4.1000000000000005,0.0
360,44.86,2.395,44.9975,2.39475,4.2,0.0
361,44.86,2.395,44.97666666666667,2.3947499999999997,4.3,0.0
362,44.86,2.395,44.961666666666666,2.3947499999999997,3.5999999999999996,0.0
363,44.86,2.395,44.946666666666665,2.3947499999999997,3.0,0.0
364,44.86,2.395,44.932500000000005,2.39475,2.9000000000000004,0.0
365,44.85,2.374,44.9175,2.3930000000000002,2.9000000000000004,0.2
366,44.7,2.374,44.88916666666666,2.39125,4.3,0.4
367,44.7,2.375,44.86166666666667,2.3895833333333334,5.6000000000000005,0.3
368,44.72,2.375,44.83583333333333,2.388,5.3,0.3
369,44.72,2.381,44.810833333333335,2.3869166666666666,5.1,0.3
370,44.81,2.382,44.80583333333333,2.3859166666666667,3.0,0.2
371,44.99,2.382,44.81583333333333,2.3848333333333334,0.5,0.2
372,44.99,2.39,44.82666666666666,2.3844166666666666,2.1,0.2
373,44.98,2.39,44.836666666666666,2.384,2.1,0.1
374,44.98,2.388,44.846666666666664,2.3834166666666667,2.0,0.1
375,45.09,2.382,44.865833333333335,2.3823333333333334,2.9000000000000004,0.2
376,45.01,2.382,44.87833333333333,2.38125,3.2,0.2
377,45.01,2.383,44.89166666666667,2.382,2.6,0.0
378,45.03,2.382,44.91916666666666,2.3826666666666667,4.1000000000000005,0.1
379,45.01,2.382,44.94499999999999,2.38325,5.3,0.1
380,45.01,2.382,44.969166666666666,2.3838333333333335,5.0,0.1
381,45.16,2.382,45.00583333333333,2.383916666666667,6.1,0.1
382,45.16,2.372,45.035,2.3830833333333334,6.6000000000000005,0.1
383,44.76,2.371,45.015833333333326,2.382166666666667,1.0,0.2
384,44.75,2.371,44.99583333333334,2.3805833333333335,3.9,0.2
385,44.75,2.372,44.97666666666667,2.3790833333333334,3.9,0.3
386,44.77,2.373,44.95916666666667,2.3778333333333332,3.6999999999999997,0.3
387,44.78,2.373,44.93333333333334,2.3770833333333337,4.3,0.2
388,44.78,2.373,44.91416666666667,2.3763333333333336,4.5,0.1
389,44.86,2.373,44.90166666666667,2.3755,3.2,0.2
390,44.86,2.374,44.887499999999996,2.3748333333333336,2.7,0.2
391,44.86,2.374,44.875,2.374166666666667,2.7,0.1
392,45.13,2.374,44.885,2.3735,0.2,0.1
393,45.13,2.374,44.8825,2.3728333333333333,0.8,0.1
394,45.06,2.374,44.87416666666667,2.3729999999999998,1.0999999999999999,0.1
395,45.04,2.374,44.8975,2.37325,1.5,0.0
396,45.04,2.374,44.921666666666674,2.3735000000000004,4.8,0.1
397,44.96,2.374,44.939166666666665,2.373666666666667,4.2,0.0
398,44.96,2.374,44.955000000000005,2.3737500000000002,3.3000000000000003,0.0
399,44.97,2.374,44.97083333333333,2.3738333333333332,3.2,0.0
400,44.98,2.374,44.987500000000004,2.3739166666666667,3.2,0.0
401,44.98,2.374,44.9975,2.374,2.7,0.0
402,44.98,2.374,45.0075,2.374,2.0,0.0
403,44.98,2.362,45.017500000000005,2.373,2.0,0.1
404,44.98,2.361,45.004999999999995,2.371916666666667,0.3,0.2
405,44.89,2.361,44.98499999999999,2.3708333333333336,3.3000000000000003,0.2
